Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No
H R 987,214,2019,116,5,183,229,0,0,0
H R 1952,218,2019,116,182,0,215,0,0,0
H R 2157,232,2019,116,132,58,222,0,0,0
H R 1921,241,2019,116,168,22,227,0,0,0
H R 2539,243,2019,116,167,13,217,0,0,0
H R 2590,244,2019,116,179,2,215,0,0,0
H R 3253,333,2019,116,142,46,229,0,0,0
H R 2740,367,2019,116,0,196,226,7,0,0
H R 3351,424,2019,116,0,191,224,5,0,0
H R 3401,429,2019,116,176,7,129,95,0,0
H R 2515,431,2019,116,181,11,229,0,0,1
H R 3050,432,2019,116,189,1,227,1,1,0
H R 2409,433,2019,116,185,6,228,0,0,1
H R 1044,437,2019,116,140,57,224,8,1,0
H R 2500,473,2019,116,0,188,220,8,0,1
H R 1327,474,2019,116,176,11,226,0,0,1
H R 2744,475,2019,116,186,1,227,0,1,0
H R 2037,477,2019,116,178,7,226,0,1,0
H R 3494,492,2019,116,171,23,226,7,0,1
H R 748,493,2019,116,189,2,230,3,0,1
H R 582,496,2019,116,3,192,228,6,0,1
H R 3304,499,2019,116,190,0,227,0,0,1
H R 3375,502,2019,116,195,2,234,0,0,1
H R 397,505,2019,116,29,168,235,0,0,1
H R 3239,507,2019,116,1,194,232,0,0,1
H R 693,510,2019,116,100,95,233,0,0,1
H R 3877,512,2019,116,41,156,5,228,1,0
H R 549,514,2019,116,39,158,232,0,1,0
H R 1420,515,2019,116,164,22,220,0,0,1
H R 1768,516,2019,116,76,112,219,1,0,1
H R 2852,519,2019,116,192,4,227,0,0,1
H R 205,521,2019,116,22,174,226,5,0,1
H R 1941,525,2019,116,12,183,226,5,0,1
H R 1146,530,2019,116,4,187,221,5,0,1
H R 4285,535,2019,116,190,1,226,0,1,0
H R 4378,538,2019,116,76,119,225,3,0,1
H R 1423,540,2019,116,2,183,223,2,0,1
H R 3190,541,2019,116,170,20,224,0,0,1
H R 1595,544,2019,116,91,102,229,1,1,0
H R 2203,546,2019,116,0,192,230,1,0,1
H R 3525,552,2019,116,2,182,227,2,1,0
H R 3722,554,2019,116,184,0,219,0,0,1
H R 2385,556,2019,116,192,0,217,0,0,1
H R 95,557,2019,116,192,0,215,0,1,0
H R 1815,564,2019,116,0,185,229,0,0,1
H R 3624,567,2019,116,2,183,224,0,0,1
H R 4406,569,2019,116,157,24,218,0,0,1
H R 4407,570,2019,116,171,7,218,0,0,1
H R 2513,577,2019,116,25,167,224,5,0,1
H R 2426,578,2019,116,185,5,225,0,0,1
H R 4617,583,2019,116,0,179,227,1,0,1
H R 777,584,2019,116,178,0,224,0,0,1
H R 2440,585,2019,116,79,107,217,1,0,1
H R 2115,586,2019,116,184,0,218,0,1,0
H R 4695,592,2019,116,176,15,226,1,1,0
H R 2181,597,2019,116,17,173,228,0,0,1
H R 1373,602,2019,116,9,183,227,1,0,1
H R 823,609,2019,116,5,180,222,1,0,1
H R 4162,610,2019,116,187,0,220,0,1,0
H R 3537,612,2019,116,196,0,228,0,0,1
H R 499,613,2019,116,194,0,228,0,1,0
H R 3734,614,2019,116,193,2,228,0,0,1
H R 4863,624,2019,116,13,179,222,4,0,1
H R 3702,625,2019,116,71,117,219,0,0,1
H R 4634,626,2019,116,167,21,218,0,0,1
H R 4344,627,2019,116,93,94,221,0,0,1
H R 5084,630,2019,116,55,134,226,0,0,1
H R 3055,631,2019,116,12,181,219,10,0,1
H R 737,634,2019,116,89,104,221,2,0,1
S 1838,635,2019,116,192,1,224,0,1,0
S 2710,636,2019,116,192,0,224,0,1,0
H R 1309,642,2019,116,32,157,219,0,0,1
S 178,644,2019,116,185,1,221,0,1,0
S 151,647,2019,116,193,2,224,0,0,1
H R 2534,649,2019,116,182,12,228,0,0,1
H R 4,654,2019,116,1,186,227,0,0,1
H R 4761,655,2019,116,179,0,214,0,0,1
H R 4739,656,2019,116,179,0,213,0,1,0
H R 5363,659,2019,116,93,95,226,0,0,1
H R 729,670,2019,116,1,192,227,0,1,0
S 1790,672,2019,116,189,6,188,41,0,1
H R 5038,675,2019,116,7,164,208,0,1,0
H R 3,682,2019,116,2,191,228,0,0,1
H R 4183,685,2019,116,187,1,220,0,1,0
H R 3530,686,2019,116,187,1,221,0,1,0
H R 722,687,2019,116,188,0,221,0,1,0
H R 2548,688,2019,116,186,6,223,0,0,1
H R 1865,689,2019,116,79,112,218,7,0,1
H R 1158,690,2019,116,130,62,150,75,0,1
H R 5377,700,2019,116,5,189,213,16,0,1
H R 5430,701,2019,116,192,2,193,38,0,1
H R 2881,4,2020,116,188,2,225,0,0,1
H R 535,13,2020,116,24,157,223,1,0,1
H R 2398,15,2020,116,146,31,215,0,1,0
H R 943,23,2020,116,175,4,218,0,0,1
H R 4704,24,2020,116,170,7,215,0,0,1
H R 4331,27,2020,116,163,21,229,0,0,1
H R 3621,31,2020,116,0,186,221,2,0,1
S 3201,32,2020,116,183,1,137,86,0,1
H R 4044,35,2020,116,132,61,223,0,0,1
H R 2382,37,2020,116,87,105,222,0,0,1
H R 2474,50,2020,116,5,186,219,7,0,1
H R 2932,55,2020,116,166,9,208,1,0,1
H R 3413,56,2020,116,172,3,207,1,1,0
H R 1980,59,2020,116,150,36,224,0,0,1
H R 2546,69,2020,116,6,182,225,0,0,1
H R 35,71,2020,116,188,3,222,0,0,1
H R 4852,72,2020,116,190,0,221,0,1,0
H R 2490,73,2020,116,182,9,220,0,0,1
H R 2819,76,2020,116,183,0,223,0,1,0
H R 2339,78,2020,116,5,177,208,17,0,1
H R 5003,79,2020,116,166,0,188,0,1,0
H R 5932,80,2020,116,166,0,189,0,1,0
H R 4508,82,2020,116,169,15,205,0,0,1
S 1678,85,2020,116,194,0,220,0,1,0
H R 6074,86,2020,116,192,2,222,0,1,0
H R 1140,90,2020,116,14,170,216,0,0,1
H R 1771,92,2020,116,178,0,212,0,1,0
S 760,97,2020,116,186,0,225,0,1,0
H R 6201,102,2020,116,140,40,223,0,0,0
H R 266,104,2020,116,177,4,211,1,0,0
H R 6800,109,2020,116,1,184,207,14,0,1
S 3744,110,2020,116,181,1,231,0,1,0
H R 6782,113,2020,116,38,146,231,0,0,1
H R 7010,114,2020,116,183,1,233,0,1,0
H R 6172,115,2020,116,73,100,211,21,0,1
H R 7120,119,2020,116,3,180,233,0,0,1
H R 1425,124,2020,116,2,177,232,1,0,1
H R 5332,126,2020,116,3,177,231,1,0,1
H R 7301,128,2020,116,0,178,232,1,0,1
H R 2486,154,2020,116,0,184,230,0,1,0
H R 1957,155,2020,116,81,104,229,2,0,1
H R 7573,156,2020,116,72,113,232,0,1,0
H R 7608,166,2020,116,0,181,224,7,0,1
S 2163,167,2020,116,139,1,228,0,1,0
H R 7027,171,2020,116,18,162,231,0,0,1
H R 7617,178,2020,116,0,184,217,12,0,1
H R 8015,182,2020,116,26,149,231,0,0,1
H R 4894,183,2020,116,179,1,222,0,1,0
S 2193,184,2020,116,179,2,223,0,1,0
H R 2639,189,2020,116,21,166,227,0,0,1
H R 7909,190,2020,116,160,32,227,0,0,1
H R 2574,192,2020,116,3,187,229,0,0,1
H R 2694,195,2020,116,103,72,226,0,0,1
H R 6210,196,2020,116,176,2,230,0,0,1
H R 5664,197,2020,116,182,0,231,0,1,0
H R 8337,198,2020,116,129,56,230,0,0,1
H R 451,201,2020,116,180,4,230,0,0,1
H R 4447,206,2020,116,7,166,213,18,0,1
H R 4764,211,2020,116,186,0,227,0,1,0
H R 925,214,2020,116,0,188,214,18,0,1
S 327,219,2020,116,171,0,229,0,1,0
S 3147,220,2020,116,167,0,226,0,1,0
H R 7995,228,2020,116,120,40,223,0,0,1
H R 1380,232,2020,116,48,113,224,0,0,1
S 2981,233,2020,116,38,123,227,0,0,1
H R 3884,235,2020,116,5,158,222,6,1,0
S 461,237,2020,116,160,5,228,0,0,1
H R 8354,239,2020,116,171,0,229,0,0,1
H R 8900,240,2020,116,111,66,232,0,0,1
S 906,242,2020,116,56,105,226,0,1,0
H R 5040,243,2020,116,157,5,225,0,0,1
S 2216,244,2020,116,151,0,228,0,1,0
H R 3250,245,2020,116,158,4,229,0,0,1
S 979,246,2020,116,155,1,230,0,1,0
H R 133,251,2020,116,128,50,230,2,1,1
H R 9051,252,2020,116,44,130,231,2,0,2
H R 6395,253,2020,116,109,66,212,20,1,1
H R 335,18,2021,117,121,63,205,15,0,0
H R 447,31,2021,117,28,173,219,0,0,0
H R 208,32,2021,117,203,0,203,15,0,0
H R 546,36,2021,117,195,11,219,0,0,0
H R 1192,37,2021,117,210,0,219,0,0,0
H R 1280,60,2021,117,1,210,219,2,0,0
H R 842,70,2021,117,5,205,220,1,0,0
H R 1319,72,2021,117,0,210,220,1,0,0
H R 1446,77,2021,117,2,208,217,2,0,0
H R 1799,80,2021,117,199,3,216,0,0,0
H R 485,81,2021,117,128,73,217,0,0,0
H R 1620,86,2021,117,29,172,215,0,0,0
H R 1085,87,2021,117,194,12,219,0,0,0
H R 1651,88,2021,117,188,14,211,0,0,0
H R 1652,89,2021,117,168,38,216,0,0,0
H R 1603,93,2021,117,30,173,217,1,0,0
H R 1868,98,2021,117,167,38,217,0,0,0
H R 172,99,2021,117,169,37,212,0,0,0
S 578,100,2021,117,198,11,217,0,0,0
S 164,101,2021,117,198,8,214,0,0,0
H R 1460,105,2021,117,158,49,204,0,0,0
H R 941,109,2021,117,200,2,215,0,0,0
H R 446,110,2021,117,199,8,214,0,0,0
H R 1762,111,2021,117,196,8,212,2,0,0
H R 1002,112,2021,117,201,5,210,0,0,0
H R 1899,113,2021,117,206,1,206,4,0,0
H R 1502,114,2021,117,186,16,211,0,0,0
H R 1487,115,2021,117,204,1,205,3,0,0
H R 1490,116,2021,117,192,16,208,0,0,0
H R 1482,119,2021,117,199,5,212,3,0,0
H R 1996,120,2021,117,106,101,215,0,0,0
H R 1333,127,2021,117,1,208,217,0,0,0
H R 1573,129,2021,117,0,207,217,0,0,0
H R 1392,130,2021,117,136,71,214,0,0,0
H R 51,132,2021,117,0,208,216,0,0,0
H R 2877,142,2021,117,178,28,145,65,0,0
H R 1065,143,2021,117,99,101,216,0,0,0
H R 2911,144,2021,117,206,0,205,4,0,0
S 937,145,2021,117,147,62,217,0,0,0
H R 1629,150,2021,117,187,23,215,0,0,0
H R 3233,154,2021,117,35,175,217,0,0,0
H R 3325,161,2021,117,188,21,218,0,0,0
H R 1187,169,2021,117,0,210,215,4,0,0
H R 256,172,2021,117,49,160,219,1,0,0
H R 1374,173,2021,117,194,9,204,12,0,0
H R 983,174,2021,117,205,0,211,5,0,0
H R 2062,180,2021,117,29,178,218,0,0,0
H R 1443,182,2021,117,33,176,219,0,0,0
H R 239,184,2021,117,26,181,219,0,0,0
H R 2225,186,2021,117,134,67,211,0,0,0
H R 3593,187,2021,117,134,68,217,0,0,0
H R 391,188,2021,117,90,112,217,0,0,0
H R 567,192,2021,117,181,11,214,4,0,0
H R 2662,195,2021,117,3,182,218,0,0,0
H R 3005,196,2021,117,67,120,218,0,0,0
H R 826,209,2021,117,198,0,217,0,0,0
H R 2467,217,2021,117,23,183,218,0,0,0
H R 3985,218,2021,117,192,16,215,0,0,0
H R 1664,220,2021,117,199,0,217,0,0,0
S 957,224,2021,117,205,0,219,0,0,0
S 1910,225,2021,117,198,6,215,1,0,0
H R 4373,243,2021,117,0,209,217,3,0,0
H R 3237,250,2021,117,203,5,213,6,0,0
H R 2497,253,2021,117,203,2,213,0,0,0
H R 4300,254,2021,117,207,0,213,0,0,0
S 325,255,2021,117,201,7,217,0,0,0
S 272,256,2021,117,207,1,216,0,0,0
S 189,262,2021,117,207,0,216,0,0,0
S 1828,265,2021,117,210,0,217,0,0,0
H R 5323,275,2021,117,210,1,210,8,0,0
H R 4350,293,2021,117,135,75,181,38,0,0
H R 3755,295,2021,117,0,210,218,1,0,0
H R 1693,297,2021,117,143,66,218,0,0,0
H R 4981,298,2021,117,193,14,217,0,0,0
H R 4250,299,2021,117,198,6,214,3,0,0
H R 1228,300,2021,117,175,31,211,4,0,0
H R 4686,301,2021,117,194,11,209,6,0,0
S 848,302,2021,117,190,16,216,0,0,0
H R 1154,303,2021,117,173,36,218,0,0,0
H R 3599,307,2021,117,192,15,218,0,0,0
S 1301,310,2021,117,1,210,218,2,0,0
H R 5305,311,2021,117,34,175,220,0,0,0
H R 3533,312,2021,117,204,4,212,5,0,0
H R 5434,313,2021,117,149,51,216,0,0,0
H R 1029,316,2021,117,207,0,214,3,0,0
H R 4089,317,2021,117,168,43,211,8,0,0
H R 4369,318,2021,117,151,56,217,0,0,0
H R 4611,319,2021,117,204,2,208,0,0,0
H R 654,321,2021,117,179,29,216,1,0,0
H R 3635,322,2021,117,184,22,213,0,0,0
H R 3919,323,2021,117,208,1,212,3,0,0
H R 4032,324,2021,117,193,17,217,0,0,0
H R 4067,325,2021,117,180,29,217,0,0,0
H R 4028,326,2021,117,199,10,214,4,0,0
H R 4111,332,2021,117,175,29,216,0,0,0
H R 2989,333,2021,117,184,19,216,0,0,0
H R 2119,336,2021,117,9,200,219,0,0,0
S 1502,337,2021,117,209,0,215,3,0,0
S 1511,338,2021,117,203,3,217,0,0,0
H R 5763,339,2021,117,145,55,213,4,0,0
H R 1619,340,2021,117,149,54,212,1,0,0
H R 2758,341,2021,117,144,59,213,0,0,0
H R 5221,343,2021,117,190,17,216,0,0,0
H R 3616,344,2021,117,182,23,217,0,0,0
S 108,345,2021,117,207,2,218,0,0,0
H R 2088,347,2021,117,193,12,214,4,0,0
H R 3469,348,2021,117,201,2,217,0,0,0
H R 4256,349,2021,117,195,10,218,0,0,0
H R 4481,351,2021,117,194,9,213,0,0,0
H R 4515,353,2021,117,193,14,216,0,0,0
S 1064,354,2021,117,202,6,185,29,0,0
H R 3992,358,2021,117,7,200,217,0,0,0
H R 1339,360,2021,117,166,40,217,1,0,0
H R 3193,361,2021,117,196,13,214,3,0,0
H R 3709,362,2021,117,195,11,207,0,0,0
H R 2220,363,2021,117,209,0,207,4,0,0
H R 390,364,2021,117,205,2,217,0,0,0
H R 4679,365,2021,117,193,14,216,0,0,0
H R 4660,366,2021,117,201,4,215,0,0,0
H R 3684,370,2021,117,8,205,220,0,0,0
S 1095,373,2021,117,207,0,217,0,0,0
S 796,374,2021,117,199,9,215,0,0,0
H R 4233,375,2021,117,208,0,212,4,0,0
H R 147,376,2021,117,210,0,217,0,0,0
H R 3730,380,2021,117,203,4,217,0,0,0
H R 5574,381,2021,117,152,49,217,0,0,0
H R 4026,387,2021,117,188,23,211,5,0,0
H R 550,388,2021,117,80,130,214,0,0,0
H R 2685,389,2021,117,191,19,213,0,0,0
H R 4045,390,2021,117,179,27,215,0,0,0
H R 4055,391,2021,117,194,17,214,0,0,0
H R 5720,392,2021,117,206,4,216,0,0,0
H R 4352,393,2021,117,90,120,212,7,0,0
H R 6119,400,2021,117,0,209,217,0,0,0
S 610,404,2021,117,1,212,221,0,0,0
S 1605,405,2021,117,194,19,169,51,0,0
H R 4996,406,2021,117,152,58,212,2,0,0
H R 4616,407,2021,117,201,9,214,0,0,0
H R 5290,408,2021,117,203,9,215,0,0,0
H R 4489,410,2021,117,170,42,215,0,0,0
H R 5608,411,2021,117,176,33,217,0,0,0
H R 5487,416,2021,117,192,18,216,0,0,0
H R 5561,417,2021,117,193,17,217,0,0,0
H R 5551,418,2021,117,194,15,211,5,0,0
H R 1667,419,2021,117,175,36,217,0,0,0
H R 4555,420,2021,117,153,58,216,0,0,0
H R 2355,422,2021,117,196,15,214,0,0,0
H R 2364,423,2021,117,196,14,215,0,0,0
H R 3743,424,2021,117,165,46,209,6,0,0
H R 3894,425,2021,117,162,48,216,0,0,0
H R 897,426,2021,117,180,30,215,0,0,0
H R 2074,427,2021,117,159,52,214,0,0,0
H R 3531,428,2021,117,210,1,215,0,0,0
H R 4706,429,2021,117,203,8,214,0,0,0
H R 5677,430,2021,117,202,1,212,0,0,0
H R 5679,431,2021,117,205,2,213,0,0,0
H R 5695,432,2021,117,206,1,209,4,0,0
H R 5705,433,2021,117,206,1,209,4,0,0
H R 5314,440,2021,117,1,208,219,0,0,0
H R 5665,448,2021,117,0,212,219,0,0,0
H R 5746,9,2022,117,0,203,220,0,0,0
S 2959,10,2022,117,195,6,219,0,0,0
S 452,11,2022,117,205,0,221,0,0,0
H R 4673,14,2022,117,44,163,221,0,0,0
H R 5577,15,2022,117,203,0,218,0,0,0
S 583,34,2022,117,205,5,221,0,0,0
S 566,37,2022,117,211,0,221,0,0,0
H R 3076,38,2022,117,120,92,222,0,0,0
H R 6617,39,2022,117,51,161,221,1,0,0
H R 2324,40,2022,117,208,1,220,0,0,0
H R 735,41,2022,117,203,4,219,0,0,0
H R 3485,43,2022,117,6,206,221,0,0,0
H R 3539,44,2022,117,200,1,217,0,0,0
S 321,46,2022,117,202,0,220,0,0,0
H R 55,47,2022,117,201,3,221,0,0,0
H R 3967,57,2022,117,34,174,222,0,0,0
H R 5616,58,2022,117,171,33,219,0,0,0
S 658,59,2022,117,184,19,219,0,0,0
H R 5681,60,2022,117,173,27,214,6,0,0
H R 3113,71,2022,117,197,9,217,0,0,0
H R 5001,72,2022,117,179,27,218,0,0,0
H R 6434,77,2022,117,188,16,218,0,0,0
H R 963,81,2022,117,1,209,221,0,0,0
H R 2116,82,2022,117,14,189,221,0,0,0
H R 1621,83,2022,117,191,12,214,0,0,0
S 3294,84,2022,117,136,63,213,0,0,0
H R 6865,85,2022,117,163,43,215,3,0,0
H R 2954,86,2022,117,198,5,216,0,0,0
S 2629,87,2022,117,159,48,218,0,0,0
H R 3359,88,2022,117,187,20,219,0,0,0
H R 4738,89,2022,117,159,47,217,0,0,0
H R 5706,90,2022,117,121,85,218,0,0,0
S 400,91,2022,117,197,4,220,0,0,0
H R 5673,92,2022,117,182,24,220,0,0,0
H R 5343,93,2022,117,189,17,220,0,0,0
H R 5547,94,2022,117,84,122,220,0,0,0
S 1226,96,2022,117,144,61,220,0,0,0
S 2126,97,2022,117,199,1,213,0,0,0
H R 4521,100,2022,117,205,0,146,74,0,0
H R 3617,107,2022,117,3,202,217,2,0,0
H R 5657,108,2022,117,126,75,217,0,0,0
H R 1916,109,2022,117,92,110,218,0,0,0
H R 1218,110,2022,117,190,11,219,0,0,0
H R 2501,111,2022,117,199,6,219,0,0,0
H R 4476,112,2022,117,135,68,213,7,0,0
H R 5689,113,2022,117,163,41,220,0,0,0
H R 5641,114,2022,117,197,9,217,2,0,0
H R 7276,121,2022,117,198,7,220,0,0,0
H R 3807,123,2022,117,6,199,217,4,0,0
H R 7108,124,2022,117,199,3,221,0,0,0
H R 6968,125,2022,117,194,7,219,2,0,0
S 497,126,2022,117,192,11,212,0,0,0
H R 7314,127,2022,117,192,3,202,0,0,0
H R 7372,128,2022,117,197,9,217,0,0,0
H R 496,129,2022,117,205,2,216,2,0,0
H R 6930,130,2022,117,203,4,214,4,0,0
H R 923,131,2022,117,189,19,217,1,0,0
H R 3344,133,2022,117,152,55,214,5,0,0
H R 7311,134,2022,117,196,9,219,0,0,0
H R 6089,136,2022,117,206,2,218,0,0,0
H R 4693,137,2022,117,164,44,220,0,0,0
S 812,138,2022,117,206,0,219,0,0,0
S 3522,141,2022,117,196,10,221,0,0,0
H R 7691,145,2022,117,149,57,219,0,0,0
H R 5324,151,2022,117,184,16,213,4,0,0
S 66,152,2022,117,198,4,214,3,0,0
H R 7077,153,2022,117,165,37,214,0,0,0
S 1872,155,2022,117,202,0,216,0,0,0
H R 5911,156,2022,117,115,88,214,0,0,0
H R 5914,157,2022,117,154,48,217,0,0,0
H R 7066,159,2022,117,202,2,216,0,0,0
H R 7081,160,2022,117,146,56,216,0,0,0
H R 6891,161,2022,117,201,2,215,0,0,0
H R 6899,162,2022,117,202,2,215,0,0,0
H R 224,164,2022,117,198,0,210,0,0,0
H R 700,165,2022,117,172,25,208,1,0,0
H R 5900,166,2022,117,196,0,205,1,0,0
H R 6386,167,2022,117,195,0,209,0,0,0
H R 903,172,2022,117,4,201,216,0,0,0
H R 92,174,2022,117,198,0,207,3,0,0
H R 207,175,2022,117,198,0,210,3,0,0
H R 209,176,2022,117,196,0,210,4,0,0
H R 3508,177,2022,117,196,0,212,3,0,0
H R 5129,182,2022,117,30,169,216,0,0,0
H R 6824,183,2022,117,168,31,218,0,0,0
H R 6825,184,2022,117,69,129,219,0,0,0
H R 7309,193,2022,117,4,196,216,0,0,0
S 2520,194,2022,117,187,14,217,0,0,0
H R 6873,195,2022,117,173,26,215,0,0,0
H R 6871,196,2022,117,186,11,212,4,0,0
H R 6868,197,2022,117,168,30,215,0,0,0
S 3527,198,2022,117,195,2,217,0,0,0
S 1760,199,2022,117,169,22,215,0,0,0
S 2514,200,2022,117,194,0,216,1,0,0
H R 7500,201,2022,117,191,2,211,0,0,0
H R 5754,202,2022,117,197,0,214,1,0,0
H R 6604,203,2022,117,198,1,214,0,0,0
S 2687,204,2022,117,192,6,212,0,0,0
H R 7375,205,2022,117,182,15,215,0,0,0
H R 6376,206,2022,117,155,43,215,0,0,0
H R 7153,207,2022,117,197,2,213,1,0,0
H R 6531,211,2022,117,38,165,220,0,0,0
H R 5738,214,2022,117,201,0,219,0,0,0
H R 7335,215,2022,117,199,0,218,0,0,0
H R 6961,216,2022,117,187,12,218,0,0,0
H R 7791,218,2022,117,194,9,220,0,0,0
H R 7790,220,2022,117,12,192,219,0,0,0
H R 350,221,2022,117,1,203,221,0,0,0
H R 2992,222,2022,117,181,21,219,0,0,0
H R 6943,223,2022,117,184,17,218,0,0,0
H R 2724,224,2022,117,202,0,218,0,0,0
S 4089,225,2022,117,183,17,218,0,0,0
H R 6052,226,2022,117,190,11,217,0,0,0
S 2533,227,2022,117,201,0,218,0,0,0
S 2102,228,2022,117,200,0,218,0,0,0
H R 7688,232,2022,117,0,203,217,4,0,0
H R 6087,233,2022,117,113,81,212,2,0,0
S 3823,234,2022,117,177,21,215,0,0,0
H R 7910,245,2022,117,5,202,218,2,0,0
H R 7352,246,2022,117,205,0,216,0,0,0
H R 7334,247,2022,117,203,0,213,3,0,0
H R 5879,248,2022,117,144,61,215,0,0,0
H R 7622,249,2022,117,152,52,216,0,0,0
H R 7664,250,2022,117,188,15,211,3,0,0
H R 7670,251,2022,117,185,19,217,0,0,0
H R 7694,252,2022,117,194,11,217,0,0,0
H R 7776,253,2022,117,169,37,215,0,0,0
H R 7667,254,2022,117,176,28,216,0,0,0
H R 2377,255,2022,117,5,201,219,1,0,0
S 3580,256,2022,117,156,42,213,0,0,0
H R 6270,257,2022,117,123,73,215,0,0,0
H R 2020,258,2022,117,198,2,214,0,0,0
S 4160,261,2022,117,205,0,191,27,0,0
H R 2773,267,2022,117,16,188,215,2,0,0
S 516,268,2022,117,169,29,211,1,0,0
H R 7211,269,2022,117,184,14,212,0,0,0
H R 2543,275,2022,117,0,204,215,3,0,0
H R 7606,277,2022,117,7,199,214,5,0,0
H R 7777,278,2022,117,153,47,215,0,0,0
H R 7666,286,2022,117,184,20,218,0,0,0
H R 5585,288,2022,117,119,85,217,0,0,0
S 2089,290,2022,117,159,42,217,0,0,0
H R 5407,291,2022,117,187,16,218,0,0,0
H R 6493,292,2022,117,155,49,216,0,0,0
H R 4176,296,2022,117,2,201,218,0,0,0
S 2938,299,2022,117,14,193,220,0,0,0
H R 521,301,2022,117,204,0,213,0,0,0
H R 5271,302,2022,117,118,81,212,0,0,0
H R 7174,305,2022,117,193,16,217,0,0,0
H R 5274,306,2022,117,211,0,218,0,0,0
H R 6538,307,2022,117,43,168,217,1,0,0
S 3373,309,2022,117,123,88,219,0,0,0
H R 7900,350,2022,117,149,62,180,39,0,0
H R 1934,351,2022,117,190,20,215,0,0,0
H R 7337,356,2022,117,189,21,217,0,0,0
H R 203,357,2022,117,169,35,217,0,0,0
H R 8296,360,2022,117,0,209,219,1,0,0
H R 8297,362,2022,117,3,205,220,0,0,0
H R 8351,363,2022,117,203,2,218,0,0,0
S 144,375,2022,117,164,41,215,0,0,0
H R 4404,376,2022,117,160,45,217,0,0,0
H R 7025,377,2022,117,162,43,217,0,0,0
H R 7693,378,2022,117,183,22,214,0,0,0
H R 8294,383,2022,117,0,207,220,0,0,0
H R 8373,385,2022,117,8,195,220,0,0,0
H R 6552,388,2022,117,183,20,218,0,0,0
H R 7289,389,2022,117,142,61,217,1,0,0
H R 7180,391,2022,117,134,69,216,0,0,0
H R 8454,392,2022,117,109,95,216,0,0,0
H R 7734,393,2022,117,135,69,214,1,0,0
H R 6929,396,2022,117,36,174,218,1,0,0
H R 3771,398,2022,117,18,192,219,0,0,0
H R 4040,400,2022,117,198,11,218,1,0,0
H R 4346,404,2022,117,24,187,219,0,0,0
H R 1808,410,2022,117,2,208,215,5,0,0
H R 5118,414,2022,117,1,198,217,1,0,0
H R 263,415,2022,117,63,134,215,0,0,0
H R 7283,416,2022,117,180,9,211,0,0,0
S 3451,417,2022,117,182,0,121,89,0,0
H R 5376,420,2022,117,0,207,220,0,0,0
S 4785,421,2022,117,204,0,211,0,0,0
H R 5315,422,2022,117,92,110,216,0,0,0
H R 884,427,2022,117,75,133,218,0,0,0
H R 5774,428,2022,117,190,17,216,3,0,0
S 2293,429,2022,117,168,38,219,0,0,0
S 442,430,2022,117,130,78,217,0,0,0
H R 302,432,2022,117,6,204,219,0,0,0
H R 8326,435,2022,117,0,208,220,0,0,0
H R 2988,437,2022,117,2,203,219,0,0,0
S 3895,438,2022,117,195,4,207,0,0,0
S 3157,439,2022,117,153,52,210,0,0,0
H R 1456,440,2022,117,79,125,211,0,0,0
S 2490,444,2022,117,197,12,217,0,0,0
S 1098,448,2022,117,14,193,218,0,0,0
H R 8873,449,2022,117,9,203,220,0,0,0
H R 6448,451,2022,117,153,55,207,9,0,0
H R 8542,452,2022,117,3,206,220,0,0,0
H R 4118,453,2022,117,1,207,219,0,0,0
H R 5768,454,2022,117,30,178,220,0,0,0
H R 3482,457,2022,117,153,56,216,0,0,0
H R 7780,459,2022,117,1,205,219,0,0,0
H R 3843,460,2022,117,39,168,203,16,0,0
S 4900,461,2022,117,196,9,219,0,0,0
H R 8466,462,2022,117,132,73,219,0,0,0
S 3470,463,2022,117,207,0,216,0,0,0
S 2551,464,2022,117,177,29,216,0,0,0
S 958,465,2022,117,197,7,217,0,0,0
H R 6965,466,2022,117,110,93,215,0,0,0
H R 7321,467,2022,117,156,52,218,0,0,0
S 3662,468,2022,117,165,42,216,0,0,0
H R 8888,469,2022,117,158,49,218,0,0,0
S 2794,470,2022,117,207,0,218,0,0,0
H R 8446,471,2022,117,113,95,218,0,0,0
H R 8463,472,2022,117,120,87,214,0,0,0
H R 6833,476,2022,117,10,201,220,0,0,0
H R 8987,477,2022,117,181,30,219,1,0,0
H R 5441,478,2022,117,91,111,213,0,0,0
S 4524,480,2022,117,100,109,215,0,0,0
S 3369,482,2022,117,142,62,217,0,0,0
S 4359,483,2022,117,201,2,217,0,0,0
S 3846,487,2022,117,176,22,213,0,0,0
H R 5455,488,2022,117,95,101,212,0,0,0
H R 3372,492,2022,117,41,167,218,0,0,0
H R 6878,493,2022,117,113,90,211,0,0,0
S 231,498,2022,117,186,22,214,0,0,0
S 3115,499,2022,117,193,14,213,0,0,0
H R 8876,500,2022,117,174,26,216,0,0,0
H R 7946,503,2022,117,3,208,217,0,0,0
S 4052,505,2022,117,191,17,217,0,0,0
H R 3462,506,2022,117,208,0,209,0,0,0
S 3875,507,2022,117,118,92,215,0,0,0
S 3499,508,2022,117,209,1,215,0,0,0
S 2796,509,2022,117,194,11,214,0,0,0
S 4834,510,2022,117,208,1,213,0,0,0
H R 5796,511,2022,117,180,24,216,0,0,0
H R 8404,514,2022,117,27,164,197,0,0,0
S 1617,517,2022,117,197,8,209,0,0,0
